"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 00:09:07 NOVT 2022","Mon May 30 00:09:08 NOVT 2022","547","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Rating (Highest)]",""
"passed","Mon May 30 00:10:04 NOVT 2022","Mon May 30 00:10:05 NOVT 2022","383","tests","test_register_account_page","TestRegisterAccountPage","","","test_read_privacy_policy",""
"passed","Mon May 30 00:09:10 NOVT 2022","Mon May 30 00:09:11 NOVT 2022","636","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Model (Z - A)]",""
"passed","Mon May 30 00:07:43 NOVT 2022","Mon May 30 00:07:43 NOVT 2022","709","tests","test_admin_login_page","TestAdminLoginPage","","","test_admin_reset_password_cancel",""
"passed","Mon May 30 00:09:04 NOVT 2022","Mon May 30 00:09:05 NOVT 2022","532","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Name (Z - A)]",""
"broken","Mon May 30 00:08:06 NOVT 2022","Mon May 30 00:08:10 NOVT 2022","3592","tests","test_catalog_page","TestCatalogPage","","","test_navbar_with_subcats[item2-Desktops]",""
"passed","Mon May 30 00:08:10 NOVT 2022","Mon May 30 00:08:10 NOVT 2022","191","tests","test_catalog_page","TestCatalogPage","","","test_navbar[desktops-desktops]",""
"passed","Mon May 30 00:08:25 NOVT 2022","Mon May 30 00:08:25 NOVT 2022","731","tests","test_catalog_page","TestCatalogPage","","","test_navbar[components-all]",""
"broken","Mon May 30 00:08:56 NOVT 2022","Mon May 30 00:08:58 NOVT 2022","1225","tests","test_catalog_page","TestCatalogPage","","","test_breadcrumb_go_home",""
"passed","Mon May 30 00:09:20 NOVT 2022","Mon May 30 00:09:21 NOVT 2022","1213","tests","test_catalog_page","TestCatalogPage","","","test_select_sort_cameras[Price (Low > High)]",""
"passed","Mon May 30 00:08:54 NOVT 2022","Mon May 30 00:08:55 NOVT 2022","864","tests","test_catalog_page","TestCatalogPage","","","test_menu[cameras-cameras]",""
"passed","Mon May 30 00:09:54 NOVT 2022","Mon May 30 00:09:56 NOVT 2022","1542","tests","test_product_page","TestProductPage","","","test_view_product_images[MacBook]",""
"passed","Mon May 30 00:09:47 NOVT 2022","Mon May 30 00:09:48 NOVT 2022","1262","tests","test_product_page","TestProductPage","","","test_select_product_from_catalog",""
"passed","Mon May 30 00:08:37 NOVT 2022","Mon May 30 00:08:38 NOVT 2022","953","tests","test_catalog_page","TestCatalogPage","","","test_menu[laptops-laptops]",""
"broken","Mon May 30 00:08:58 NOVT 2022","Mon May 30 00:09:00 NOVT 2022","2365","tests","test_catalog_page","TestCatalogPage","","","test_breadcrumb_walk",""
"passed","Mon May 30 00:10:39 NOVT 2022","Mon May 30 00:10:42 NOVT 2022","3173","tests","test_user_scenarios","TestUserScenarios","","","test_register_user_account",""
"passed","Mon May 30 00:08:03 NOVT 2022","Mon May 30 00:08:03 NOVT 2022","16","tests","test_catalog_page","TestCatalogPage","","","test_if_at_page",""
"passed","Mon May 30 00:09:06 NOVT 2022","Mon May 30 00:09:07 NOVT 2022","599","tests","test_catalog_page","TestCatalogPage","","","test_select_sort[Price (High > Low)]",""
"passed","Mon May 30 00:09:30 NOVT 2022","Mon May 30 00:09:31 NOVT 2022","868","tests","test_main_page","TestMainPage","","","test_checkout_with_empty_cart",""
